Num,Time,City,Value
0,2017/1/1 0:00,C,0.58692146
1,2017/1/1 1:00,C,0.355446725
2,2017/1/1 2:00,C,0.224744296
3,2017/1/1 3:00,C,0.14709702800000002
4,2017/1/1 4:00,C,0.119380975
5,2017/1/1 5:00,C,0.13930493800000002
6,2017/1/1 6:00,C,0.239320645
7,2017/1/1 7:00,C,0.45765383600000004
8,2017/1/1 8:00,C,0.613618875
9,2017/1/1 9:00,C,0.7259443240000001
10,2017/1/1 10:00,C,0.80881629
11,2017/1/1 11:00,C,0.822424481
12,2017/1/1 12:00,C,0.823701212
13,2017/1/1 13:00,C,0.8118140690000001
14,2017/1/1 14:00,C,0.8044051240000001
15,2017/1/1 15:00,C,0.801099255
16,2017/1/1 16:00,C,0.804317245
17,2017/1/1 17:00,C,0.78127247
18,2017/1/1 18:00,C,0.859218887
19,2017/1/1 19:00,C,0.935010165
20,2017/1/1 20:00,C,0.9604461609999999
21,2017/1/1 21:00,C,0.9082989290000001
22,2017/1/1 22:00,C,0.818413864
23,2017/1/1 23:00,C,0.6716917109999999
24,2017/1/2 0:00,C,0.430112521
25,2017/1/2 1:00,C,0.275446548
26,2017/1/2 2:00,C,0.17378229999999997
27,2017/1/2 3:00,C,0.12101759
28,2017/1/2 4:00,C,0.09910361
29,2017/1/2 5:00,C,0.121722626
30,2017/1/2 6:00,C,0.210330035
31,2017/1/2 7:00,C,0.383290784
32,2017/1/2 8:00,C,0.5145109379999999
33,2017/1/2 9:00,C,0.625278076
34,2017/1/2 10:00,C,0.70580759
35,2017/1/2 11:00,C,0.74317236
36,2017/1/2 12:00,C,0.798180219
37,2017/1/2 13:00,C,0.77832995
38,2017/1/2 14:00,C,0.78200451
39,2017/1/2 15:00,C,0.7882079470000001
40,2017/1/2 16:00,C,0.782573755
41,2017/1/2 17:00,C,0.775590854
42,2017/1/2 18:00,C,0.831154816
43,2017/1/2 19:00,C,0.8957812070000001
44,2017/1/2 20:00,C,0.9324214259999999
45,2017/1/2 21:00,C,0.927799365
46,2017/1/2 22:00,C,0.8890885070000001
47,2017/1/2 23:00,C,0.7072252440000001
48,2017/1/3 0:00,C,0.408074426
49,2017/1/3 1:00,C,0.23498241
50,2017/1/3 2:00,C,0.147912958
51,2017/1/3 3:00,C,0.105058905
52,2017/1/3 4:00,C,0.08884320400000001
53,2017/1/3 5:00,C,0.111207739
54,2017/1/3 6:00,C,0.212706439
55,2017/1/3 7:00,C,0.403944199
56,2017/1/3 8:00,C,0.551846469
57,2017/1/3 9:00,C,0.626193332
58,2017/1/3 10:00,C,0.7204345459999999
59,2017/1/3 11:00,C,0.767675302
60,2017/1/3 12:00,C,0.8189213959999999
61,2017/1/3 13:00,C,0.769239398
62,2017/1/3 14:00,C,0.749061981
63,2017/1/3 15:00,C,0.7828477140000001
64,2017/1/3 16:00,C,0.790761542
65,2017/1/3 17:00,C,0.804068668
66,2017/1/3 18:00,C,0.82122612
67,2017/1/3 19:00,C,0.863843411
68,2017/1/3 20:00,C,0.8856078159999999
69,2017/1/3 21:00,C,0.881645535
70,2017/1/3 22:00,C,0.826387848
71,2017/1/3 23:00,C,0.669784521
72,2017/1/4 0:00,C,0.436770392
73,2017/1/4 1:00,C,0.26690721675
